Name,Degree Centrality,Betweenness Centrality (normalized)
Rixton,0.033234616650213884,0.040848715939915146
Boston,0.02665350444225074,0.015450639249568984
The Ronettes,0.02566633761105627,0.013685488690394546
The Outfield,0.02435011516946364,0.00850477684139172
Mazzy Star,0.023362948338269168,0.02241383391963935
Survivor,0.02303389272787101,0.008781424386655447
Rage Against The Machine,0.022046725896676538,0.01719732921156209
Stealers Wheel,0.022046725896676538,0.008942101830159449
Frankie Goes To Hollywood,0.021388614675880224,0.012801816454221598
Andy Gibb,0.02073050345508391,0.009135150610941967
